username,first_name,last_name,email,password,role,degrees,position,doctor_license,hospital_name,phone_number,about_me,token_id,is_active,is_staff
dr_rahim_hossain_1,Rahim,Hossain,dr_rahim_hossain_1@testmail.com,password123,doctor,"MBBS, FCPS (Surgery)",Senior Consultant,BMDC-880926,Kurmitola General Hospital,8800000000000.0,Experienced doctor providing quality healthcare.,DR000001,True,True
dr_ashik_uddin_2,Ashik,Uddin,dr_ashik_uddin_2@testmail.com,password123,doctor,"MBBS, FCPS (Medicine)",Senior Consultant,BMDC-775336,Evercare Hospital Dhaka,8800000000000.0,Experienced doctor providing quality healthcare.,DR000002,True,True
dr_mohammad_mondal_3,Mohammad,Mondal,dr_mohammad_mondal_3@testmail.com,password123,doctor,MBBS,Professor,BMDC-339064,United Hospital Limited,8800000000000.0,Experienced doctor providing quality healthcare.,DR000003,True,True
dr_sajid_khan_4,Sajid,Khan,dr_sajid_khan_4@testmail.com,password123,doctor,"MBBS, FCPS",Associate Professor,BMDC-161005,Evercare Hospital Dhaka,8800000000000.0,Experienced doctor providing quality healthcare.,DR000004,True,True
dr_shahin_ahmed_5,Shahin,Ahmed,dr_shahin_ahmed_5@testmail.com,password123,doctor,"MBBS, FCPS (Medicine)",Assistant Professor,BMDC-945860,Bangabandhu Sheikh Mujib Medical University,8800000000000.0,Experienced doctor providing quality healthcare.,DR000005,True,True
dr_abdur_jaman_6,Abdur,Jaman,dr_abdur_jaman_6@testmail.com,password123,doctor,"MBBS, FCPS (Surgery)",Senior Consultant,BMDC-271793,Combined Military Hospital (CMH),8800000000000.0,Experienced doctor providing quality healthcare.,DR000006,True,True
dr_mohammad_rahman_7,Mohammad,Rahman,dr_mohammad_rahman_7@testmail.com,password123,doctor,"MBBS, FCPS (Medicine)",Associate Professor,BMDC-670336,Ibn Sina Hospital,8800000000000.0,Experienced doctor providing quality healthcare.,DR000007,True,True
dr_hasan_roy_8,Hasan,Roy,dr_hasan_roy_8@testmail.com,password123,doctor,MBBS,Assistant Professor,BMDC-225682,Combined Military Hospital (CMH),8800000000000.0,Experienced doctor providing quality healthcare.,DR000008,True,True
dr_rafi_roy_9,Rafi,Roy,dr_rafi_roy_9@testmail.com,password123,doctor,"MBBS, FCPS",Professor,BMDC-240344,United Hospital Limited,8800000000000.0,Experienced doctor providing quality healthcare.,DR000009,True,True
dr_rakib_talukder_10,Rakib,Talukder,dr_rakib_talukder_10@testmail.com,password123,doctor,"MBBS, FCPS (Surgery)",Professor,BMDC-131145,Sir Salimullah Medical College Hospital,8800000000000.0,Experienced doctor providing quality healthcare.,DR000010,True,True
dr_ashik_talukder_11,Ashik,Talukder,dr_ashik_talukder_11@testmail.com,password123,doctor,"MBBS, MD",Consultant,BMDC-396352,Evercare Hospital Dhaka,8800000000000.0,Experienced doctor providing quality healthcare.,DR000011,True,True
dr_abdul_miah_12,Abdul,Miah,dr_abdul_miah_12@testmail.com,password123,doctor,"MBBS, MD",Professor,BMDC-191780,Bangabandhu Sheikh Mujib Medical University,8800000000000.0,Experienced doctor providing quality healthcare.,DR000012,True,True
dr_imran_rahman_13,Imran,Rahman,dr_imran_rahman_13@testmail.com,password123,doctor,MBBS,Consultant,BMDC-670667,Combined Military Hospital (CMH),8800000000000.0,Experienced doctor providing quality healthcare.,DR000013,True,True
dr_nayeem_uddin_14,Nayeem,Uddin,dr_nayeem_uddin_14@testmail.com,password123,doctor,"MBBS, FCPS (Medicine)",Professor,BMDC-907785,Evercare Hospital Dhaka,8800000000000.0,Experienced doctor providing quality healthcare.,DR000014,True,True
dr_arif_biswas_15,Arif,Biswas,dr_arif_biswas_15@testmail.com,password123,doctor,"MBBS, FCPS (Medicine)",Assistant Professor,BMDC-403605,Kurmitola General Hospital,8800000000000.0,Experienced doctor providing quality healthcare.,DR000015,True,True
dr_rahim_rahman_16,Rahim,Rahman,dr_rahim_rahman_16@testmail.com,password123,doctor,"MBBS, FCPS (Medicine)",Associate Professor,BMDC-515081,Combined Military Hospital (CMH),8800000000000.0,Experienced doctor providing quality healthcare.,DR000016,True,True
dr_sajid_islam_17,Sajid,Islam,dr_sajid_islam_17@testmail.com,password123,doctor,MBBS,Associate Professor,BMDC-326040,Dhaka Medical College Hospital,8800000000000.0,Experienced doctor providing quality healthcare.,DR000017,True,True
dr_tanvir_mondal_18,Tanvir,Mondal,dr_tanvir_mondal_18@testmail.com,password123,doctor,"MBBS, MD",Professor,BMDC-820976,Popular Diagnostic Centre Ltd,8800000000000.0,Experienced doctor providing quality healthcare.,DR000018,True,True
dr_fahim_uddin_19,Fahim,Uddin,dr_fahim_uddin_19@testmail.com,password123,doctor,MBBS,Consultant,BMDC-927263,Square Hospital Ltd,8800000000000.0,Experienced doctor providing quality healthcare.,DR000019,True,True
dr_fahim_jaman_20,Fahim,Jaman,dr_fahim_jaman_20@testmail.com,password123,doctor,"MBBS, FCPS",Associate Professor,BMDC-491324,Square Hospital Ltd,8800000000000.0,Experienced doctor providing quality healthcare.,DR000020,True,True
dr_rahim_haque_21,Rahim,Haque,dr_rahim_haque_21@testmail.com,password123,doctor,MBBS,Assistant Professor,BMDC-540858,Bangabandhu Sheikh Mujib Medical University,8800000000000.0,Experienced doctor providing quality healthcare.,DR000021,True,True
dr_tanvir_rahman_22,Tanvir,Rahman,dr_tanvir_rahman_22@testmail.com,password123,doctor,"MBBS, MD",Professor,BMDC-312032,Square Hospital Ltd,8800000000000.0,Experienced doctor providing quality healthcare.,DR000022,True,True
dr_abdul_biswas_23,Abdul,Biswas,dr_abdul_biswas_23@testmail.com,password123,doctor,MBBS,Professor,BMDC-792800,United Hospital Limited,8800000000000.0,Experienced doctor providing quality healthcare.,DR000023,True,True
dr_shahin_mahmud_24,Shahin,Mahmud,dr_shahin_mahmud_24@testmail.com,password123,doctor,"MBBS, FCPS (Medicine)",Associate Professor,BMDC-154358,Evercare Hospital Dhaka,8800000000000.0,Experienced doctor providing quality healthcare.,DR000024,True,True
dr_ashik_biswas_25,Ashik,Biswas,dr_ashik_biswas_25@testmail.com,password123,doctor,"MBBS, FCPS (Surgery)",Consultant,BMDC-379199,Labaid Specialized Hospital,8800000000000.0,Experienced doctor providing quality healthcare.,DR000025,True,True
dr_mahmud_jaman_26,Mahmud,Jaman,dr_mahmud_jaman_26@testmail.com,password123,doctor,"MBBS, FCPS",Senior Consultant,BMDC-108792,Kurmitola General Hospital,8800000000000.0,Experienced doctor providing quality healthcare.,DR000026,True,True
dr_nayeem_roy_27,Nayeem,Roy,dr_nayeem_roy_27@testmail.com,password123,doctor,"MBBS, MD",Senior Consultant,BMDC-622717,Square Hospital Ltd,8800000000000.0,Experienced doctor providing quality healthcare.,DR000027,True,True
dr_rakib_alam_28,Rakib,Alam,dr_rakib_alam_28@testmail.com,password123,doctor,"MBBS, FCPS",Consultant,BMDC-514706,Labaid Specialized Hospital,8800000000000.0,Experienced doctor providing quality healthcare.,DR000028,True,True
dr_tanvir_alam_29,Tanvir,Alam,dr_tanvir_alam_29@testmail.com,password123,doctor,"MBBS, MD",Assistant Professor,BMDC-486835,Popular Diagnostic Centre Ltd,8800000000000.0,Experienced doctor providing quality healthcare.,DR000029,True,True
dr_nayeem_jaman_30,Nayeem,Jaman,dr_nayeem_jaman_30@testmail.com,password123,doctor,"MBBS, FCPS (Medicine)",Professor,BMDC-802832,Popular Diagnostic Centre Ltd,8800000000000.0,Experienced doctor providing quality healthcare.,DR000030,True,True
dr_rakib_sarker_31,Rakib,Sarker,dr_rakib_sarker_31@testmail.com,password123,doctor,"MBBS, FCPS",Senior Consultant,BMDC-683824,Dhaka Medical College Hospital,8800000000000.0,Experienced doctor providing quality healthcare.,DR000031,True,True
dr_sakib_rahman_32,Sakib,Rahman,dr_sakib_rahman_32@testmail.com,password123,doctor,"MBBS, MD",Consultant,BMDC-641865,Popular Diagnostic Centre Ltd,8800000000000.0,Experienced doctor providing quality healthcare.,DR000032,True,True
dr_rahim_miah_33,Rahim,Miah,dr_rahim_miah_33@testmail.com,password123,doctor,MBBS,Senior Consultant,BMDC-495951,Kurmitola General Hospital,8800000000000.0,Experienced doctor providing quality healthcare.,DR000033,True,True
dr_fahim_alam_34,Fahim,Alam,dr_fahim_alam_34@testmail.com,password123,doctor,"MBBS, FCPS",Professor,BMDC-872051,United Hospital Limited,8800000000000.0,Experienced doctor providing quality healthcare.,DR000034,True,True
dr_mahmud_miah_35,Mahmud,Miah,dr_mahmud_miah_35@testmail.com,password123,doctor,"MBBS, MD",Professor,BMDC-172752,Labaid Specialized Hospital,8800000000000.0,Experienced doctor providing quality healthcare.,DR000035,True,True
dr_rafi_biswas_36,Rafi,Biswas,dr_rafi_biswas_36@testmail.com,password123,doctor,"MBBS, MD",Assistant Professor,BMDC-408599,Kurmitola General Hospital,8800000000000.0,Experienced doctor providing quality healthcare.,DR000036,True,True
dr_fahim_haque_37,Fahim,Haque,dr_fahim_haque_37@testmail.com,password123,doctor,MBBS,Professor,BMDC-786588,Bangabandhu Sheikh Mujib Medical University,8800000000000.0,Experienced doctor providing quality healthcare.,DR000037,True,True
dr_ashik_jaman_38,Ashik,Jaman,dr_ashik_jaman_38@testmail.com,password123,doctor,"MBBS, FCPS (Surgery)",Professor,BMDC-252423,Combined Military Hospital (CMH),8800000000000.0,Experienced doctor providing quality healthcare.,DR000038,True,True
dr_ashik_hossain_39,Ashik,Hossain,dr_ashik_hossain_39@testmail.com,password123,doctor,MBBS,Consultant,BMDC-424127,Popular Diagnostic Centre Ltd,8800000000000.0,Experienced doctor providing quality healthcare.,DR000039,True,True
